TimeSlice	Time	LH_GemellusSuperior	LH_GemellusSuperior
591	0.31914	0.0130984	86.4125
592	0.31968	0.0130984	86.4128
593	0.32022	0.0130984	86.4131
594	0.32076	0.0130984	86.4134
595	0.3213	0.0130983	86.4137
596	0.32184	0.0130983	86.4141
597	0.32238	0.0130983	86.4144
598	0.32292	0.0130983	86.4147
599	0.32346	0.0130982	86.415
600	0.324	0.0130982	86.4153
601	0.32454	0.0130982	86.4156
602	0.32508	0.0130982	86.4159
603	0.32562	0.0130981	86.4162
604	0.32616	0.0130981	86.4165
605	0.3267	0.0130981	86.4168
606	0.32724	0.0130981	86.4171
607	0.32778	0.0130981	86.4174
608	0.32832	0.013098	86.4176
609	0.32886	0.013098	86.4179
610	0.3294	0.013098	86.4182
611	0.32994	0.013098	86.4185
612	0.33048	0.013098	86.4188
613	0.33102	0.0130979	86.4191
614	0.33156	0.0130979	86.4193
615	0.3321	0.0130979	86.4196
616	0.33264	0.0130979	86.4199
617	0.33318	0.0130979	86.4201
618	0.33372	0.0130978	86.4204
619	0.33426	0.0130978	86.4206
620	0.3348	0.0130978	86.4209
621	0.33534	0.0130978	86.4212
622	0.33588	0.0130978	86.4214
623	0.33642	0.0130977	86.4217
624	0.33696	0.0130977	86.4219
625	0.3375	0.0130977	86.4222
626	0.33804	0.0130977	86.4224
627	0.33858	0.0130977	86.4227
628	0.33912	0.0130976	86.4229
629	0.33966	0.0130976	86.4232
630	0.3402	0.0130976	86.4234
631	0.34074	0.0130976	86.4236
632	0.34128	0.0130976	86.4239
633	0.34182	0.0130976	86.4241
634	0.34236	0.0130975	86.4244
635	0.3429	0.0130975	86.4246
636	0.34344	0.0130975	86.4248
637	0.34398	0.0130975	86.4251
638	0.34452	0.0130975	86.4253
639	0.34506	0.0130974	86.4256
640	0.3456	0.0130974	86.4258
641	0.34614	0.0130974	86.426
642	0.34668	0.0130974	86.4263
643	0.34722	0.0130974	86.4265
644	0.34776	0.0130974	86.4268
645	0.3483	0.0130973	86.427
646	0.34884	0.0130973	86.4272
647	0.34938	0.0130973	86.4275
648	0.34992	0.0130973	86.4277
649	0.35046	0.0130973	86.4279
650	0.351	0.0130972	86.4282
651	0.35154	0.0130972	86.4285
652	0.35208	0.0130972	86.4287
653	0.35262	0.0130972	86.4289
654	0.35316	0.0130972	86.4292
655	0.3537	0.0130972	86.4294
656	0.35424	0.0130971	86.4297
657	0.35478	0.0130971	86.4299
658	0.35532	0.0130971	86.4302
659	0.35586	0.0130971	86.4304
660	0.3564	0.0130971	86.4306
661	0.35694	0.013097	86.4309
662	0.35748	0.013097	86.4312
663	0.35802	0.013097	86.4314
664	0.35856	0.013097	86.4317
665	0.3591	0.013097	86.4319
666	0.35964	0.0130969	86.4322
667	0.36018	0.0130969	86.4325
668	0.36072	0.0130969	86.4327
669	0.36126	0.0130969	86.433
670	0.3618	0.0130969	86.4332
671	0.36234	0.0130968	86.4335
672	0.36288	0.0130968	86.4338
673	0.36342	0.0130968	86.4341
674	0.36396	0.0130968	86.4343
675	0.3645	0.0130968	86.4346
676	0.36504	0.0130967	86.4348
677	0.36558	0.0130967	86.4351
678	0.36612	0.0130967	86.4354
679	0.36666	0.0130967	86.4357
680	0.3672	0.0130967	86.4359
681	0.36774	0.0130966	86.4362
682	0.36828	0.0130966	86.4365
683	0.36882	0.0130966	86.4368
684	0.36936	0.0130966	86.4371
685	0.3699	0.0130966	86.4374
686	0.37044	0.0130965	86.4376
687	0.37098	0.0130965	86.4379
688	0.37152	0.0130965	86.4382
689	0.37206	0.0130965	86.4385
690	0.3726	0.0130965	86.4388
691	0.37314	0.0130964	86.4391
692	0.37368	0.0130964	86.4394
693	0.37422	0.0130964	86.4397
694	0.37476	0.0130964	86.44
695	0.3753	0.0130963	86.4403
696	0.37584	0.0130963	86.4406
697	0.37638	0.0130963	86.4409
698	0.37692	0.0130963	86.4412
699	0.37746	0.0130963	86.4415
700	0.378	0.0130962	86.4417
701	0.37854	0.0130962	86.442
702	0.37908	0.0130962	86.4423
703	0.37962	0.0130962	86.4426
704	0.38016	0.0130961	86.4429
705	0.3807	0.0130961	86.4432
706	0.38124	0.0130961	86.4436
707	0.38178	0.0130961	86.4438
708	0.38232	0.0130961	86.4441
709	0.38286	0.013096	86.4444
710	0.3834	0.013096	86.4447
711	0.38394	0.013096	86.445
712	0.38448	0.013096	86.4454
713	0.38502	0.0130959	86.4456
714	0.38556	0.0130959	86.446
715	0.3861	0.0130959	86.4462
716	0.38664	0.0130959	86.4466
717	0.38718	0.0130958	86.4469
718	0.38772	0.0130958	86.4472
719	0.38826	0.0130958	86.4475
720	0.3888	0.0130958	86.4478
721	0.38934	0.0130958	86.4481
722	0.38988	0.0130957	86.4484
723	0.39042	0.0130957	86.4487
724	0.39096	0.0130957	86.449
725	0.3915	0.0130957	86.4493
726	0.39204	0.0130956	86.4496
727	0.39258	0.0130956	86.4499
728	0.39312	0.0130956	86.4502
729	0.39366	0.0130956	86.4505
730	0.3942	0.0130955	86.4508
731	0.39474	0.0130955	86.4511
732	0.39528	0.0130955	86.4514
733	0.39582	0.0130955	86.4517
734	0.39636	0.0130955	86.452
735	0.3969	0.0130954	86.4524
736	0.39744	0.0130954	86.4527
737	0.39798	0.0130954	86.453
