TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
114	0.06156	0.00860915	0.0176143	0.00177038	0.0163782	0.409058	0.00129503	0.0499698	0.293361	0	0	0
115	0.0621	0.00862166	0.0164662	0.00162599	0.0164518	0.406987	0.000563674	0.0507473	0.318966	0	0	0
116	0.06264	0.00855033	0.014294	0.00138832	0.0165252	0.406025	0	0.0512953	0.332125	0	0	0
117	0.06318	0.00838047	0.0111907	0.00106952	0.0165986	0.406366	0	0.0515566	0.331887	0	0	0
118	0.06372	0.00810502	0.00733997	0.00069497	0.0166721	0.408006	0	0.0515113	0.317961	0	0	0
119	0.06426	0.00772945	0.00307629	0.000293303	0.0167456	0.41087	0	0.0511583	0.291758	0	0	0
120	0.0648	0.00726722	0	0	0.0168189	0.414717	0	0.0505344	0.255376	0	0	0
121	0.06534	0.00673807	0	0	0.0168916	0.41931	0	0.04968	0.211469	0	0	0
122	0.06588	0.00616583	0	0	0.0169634	0.424291	0	0.0486643	0.163119	0	0	0
123	0.06642	0.00557952	0	0	0.0170338	0.429329	0	0.0475576	0.11393	0	0	0
124	0.06696	0.00501014	0	0	0.0171021	0.433978	0	0.0464532	0.0681161	0	0	0
125	0.0675	0.00449151	0	0	0.0171674	0.437858	0	0.0454395	0.0301663	0	0	0
126	0.06804	0.00405166	0	0	0.0172287	0.440584	0	0.0446061	0.00420293	0.00934006	0	0
127	0.06858	0.00371202	0	0	0.0172854	0.44195	0	0.0440112	0	0.0163242	0	0
128	0.06912	0.00348165	0	0	0.0173371	0.441851	0.000228609	0.0436963	0	0.0154732	0	0
129	0.06966	0.00335864	0	0	0.017384	0.440424	0.00119376	0.0436577	0.0174462	0.0077883	0	0
130	0.0702	0.00333739	0	8.34876e-005	0.0174264	0.437755	0.00200382	0.0438961	0.0505428	0	0	0
131	0.07074	0.00340376	0.00331047	0.000421167	0.0174648	0.434112	0.00261355	0.0443728	0.0942086	0	0	0
132	0.07128	0.00353558	0.00688022	0.000718206	0.0174999	0.429783	0.00295267	0.0450406	0.144432	0	0	0
133	0.07182	0.00370437	0.00977564	0.00095381	0.0175326	0.425203	0.00308635	0.0458176	0.196643	0	0	0
134	0.07236	0.00388432	0.0118322	0.00110912	0.0175637	0.42068	0.00295106	0.0466427	0.246945	0	0	0
135	0.0729	0.00404744	0.0128912	0.00117249	0.0175936	0.416584	0.00260778	0.0474297	0.291855	0	0	0
136	0.07344	0.00416828	0.0128856	0.00113431	0.0176229	0.413165	0.00202016	0.0481134	0.328286	0	0	0
137	0.07398	0.00422134	0.0117629	0.00099419	0.0176518	0.410757	0.00127227	0.0486095	0.353824	0	0	0
138	0.07452	0.00418712	0.00957839	0.000756991	0.0176805	0.409512	0.000379523	0.0488659	0.36669	0	0	0
139	0.07506	0.00405053	0.00643354	0.000435882	0.0177094	0.409612	0	0.0488241	0.36607	0	0	0
140	0.0756	0.00380469	0.00252396	5.69427e-005	0.0177383	0.411059	0	0.0484646	0.351803	0	0	0
141	0.07614	0.00345545	0	0	0.0177672	0.413777	0	0.047786	0.325346	0	0	0
142	0.07668	0.00301649	0	0	0.017796	0.417508	0	0.0468266	0.288691	0.0179553	0	0
143	0.07722	0.0025078	0	0	0.0178244	0.422023	0	0.0456265	0.244407	0.0544286	0	0.018646
144	0.07776	0.00195453	0	0	0.0178523	0.426958	0	0.0442595	0.195513	0.0906652	0	0.0408781
145	0.0783	0.00139023	0	0	0.0178797	0.431948	0	0.0428096	0.145588	0.123742	0	0.0607519
146	0.07884	0.000850826	0	0	0.0179065	0.436527	0	0.0413863	0.0986075	0.150925	0.00492221	0.0763094
147	0.07938	0.000375038	0	0	0.0179328	0.44029	0	0.0400947	0.0588517	0.169636	0.0109558	0.0859186
