TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
6916	3.73464	-0.134073	0.125967	-0.0126383
6935	3.7449	-0.134351	0.125976	-0.0126288
6954	3.75516	-0.134772	0.125982	-0.0126228
6973	3.76542	-0.135087	0.125989	-0.012618
6992	3.77568	-0.13534	0.125999	-0.0126137
7011	3.78594	-0.135738	0.126005	-0.0126056
7030	3.7962	-0.136073	0.126013	-0.0125989
7049	3.80646	-0.136324	0.126022	-0.0125954
7068	3.81672	-0.136691	0.126029	-0.0125883
7087	3.82698	-0.137054	0.126035	-0.0125805
7106	3.83724	-0.137298	0.126045	-0.012577
7125	3.8475	-0.137619	0.126054	-0.012566
7144	3.85776	-0.138034	0.126059	-0.0125599
7163	3.86802	-0.138281	0.126067	-0.012557
7182	3.87828	-0.138566	0.126076	-0.0125516
7201	3.88854	-0.138984	0.126081	-0.0125424
7220	3.8988	-0.139237	0.126091	-0.0125384
7239	3.90906	-0.139506	0.126099	-0.0125343
7258	3.91932	-0.139921	0.126104	-0.0125251
7277	3.92958	-0.140184	0.126113	-0.0125204
7296	3.93984	-0.140441	0.126121	-0.0125167
7315	3.9501	-0.140848	0.126127	-0.0125078
7334	3.96036	-0.141122	0.126135	-0.0125027
7353	3.97062	-0.141369	0.126144	-0.0124991
7372	3.98088	-0.141758	0.126149	-0.0124909
7391	3.99114	-0.142065	0.126156	-0.0124806
7410	4.0014	-0.142297	0.126168	-0.0124775
7429	4.01166	-0.142637	0.126172	-0.0124735
7448	4.02192	-0.142987	0.126179	-0.0124655
7467	4.03218	-0.143216	0.126188	-0.0124617
7486	4.04244	-0.143531	0.126195	-0.012456
7505	4.0527	-0.143914	0.126199	-0.0124444
7524	4.06296	-0.14414	0.126212	-0.0124401
7543	4.07322	-0.144404	0.126217	-0.0124386
7562	4.08348	-0.144797	0.126223	-0.0124298
7581	4.09374	-0.145043	0.126232	-0.0124249
7600	4.104	-0.145291	0.126239	-0.0124214
7619	4.11426	-0.145677	0.126243	-0.0124108
7638	4.12452	-0.145949	0.126255	-0.0124036
7657	4.13478	-0.146175	0.126261	-0.0124033
7676	4.14504	-0.146523	0.126267	-0.0123963
7695	4.1553	-0.146831	0.126274	-0.0123892
7714	4.16556	-0.147062	0.126283	-0.0123813
7733	4.17582	-0.147365	0.126291	-0.0123777
7752	4.18608	-0.147719	0.126295	-0.0123715
7771	4.19634	-0.147933	0.126304	-0.0123678
7790	4.2066	-0.148205	0.12631	-0.0123617
7809	4.21686	-0.14858	0.126318	-0.0123504
7828	4.22712	-0.148812	0.126325	-0.0123494
7847	4.23738	-0.149052	0.126332	-0.0123461
7866	4.24764	-0.149423	0.126336	-0.0123355
7885	4.2579	-0.149684	0.126347	-0.0123289
7904	4.26816	-0.149898	0.126352	-0.0123285
7923	4.27842	-0.150212	0.126361	-0.0123172
7942	4.28868	-0.150544	0.126366	-0.0123125
7961	4.29894	-0.150757	0.126374	-0.0123106
7980	4.3092	-0.151021	0.126379	-0.0123046
7999	4.31946	-0.151384	0.126388	-0.0122936
8018	4.32972	-0.151606	0.126394	-0.0122927
8037	4.33998	-0.151835	0.1264	-0.012289
8056	4.35024	-0.152193	0.126409	-0.0122772
8075	4.3605	-0.15244	0.126415	-0.0122753
8094	4.37076	-0.152659	0.126422	-0.0122729
8113	4.38102	-0.153001	0.126427	-0.0122653
8132	4.39128	-0.153273	0.126433	-0.0122563
8151	4.40154	-0.153478	0.126444	-0.012254
8170	4.4118	-0.153779	0.126448	-0.0122506
8189	4.42206	-0.154087	0.126453	-0.0122436
8208	4.43232	-0.15429	0.126462	-0.0122404
8227	4.44258	-0.154553	0.12647	-0.0122314
8246	4.45284	-0.154897	0.126474	-0.0122264
8265	4.4631	-0.155103	0.126481	-0.0122242
8284	4.47336	-0.155338	0.126488	-0.0122199
8303	4.48362	-0.155687	0.126492	-0.0122098
8322	4.49388	-0.155906	0.126503	-0.0122047
8341	4.50414	-0.156111	0.126508	-0.0122039
8360	4.5144	-0.156434	0.126516	-0.0121925
8379	4.52466	-0.156702	0.126521	-0.0121896
8398	4.53492	-0.156901	0.126528	-0.0121879
8417	4.54518	-0.1572	0.126534	-0.0121815
8436	4.55544	-0.157492	0.126538	-0.0121722
8455	4.5657	-0.157684	0.126549	-0.0121696
8474	4.57596	-0.157944	0.126553	-0.0121673
8493	4.58622	-0.158268	0.126557	-0.0121574
8512	4.59648	-0.15846	0.126568	-0.0121534
8531	4.60674	-0.158685	0.126573	-0.0121523
8550	4.617	-0.159017	0.126577	-0.0121451
8569	4.62726	-0.159224	0.126585	-0.0121411
8588	4.63752	-0.159431	0.126592	-0.0121339
8607	4.64778	-0.15975	0.126598	-0.0121295
8626	4.65804	-0.159989	0.126603	-0.0121259
8645	4.6683	-0.160183	0.126611	-0.0121188
8664	4.67856	-0.160471	0.126617	-0.0121147
8683	4.68882	-0.160751	0.12662	-0.0121066
8702	4.69908	-0.160935	0.126631	-0.0121033
8721	4.70934	-0.16118	0.126635	-0.0121014
8740	4.7196	-0.161494	0.126639	-0.012092
8759	4.72986	-0.161679	0.126649	-0.012088
8778	4.74012	-0.161894	0.126654	-0.012087
8797	4.75038	-0.162212	0.126657	-0.0120781
8816	4.76064	-0.162415	0.126668	-0.0120728
8835	4.7709	-0.162604	0.126672	-0.012072
8854	4.78116	-0.162899	0.126679	-0.0120619
8873	4.79142	-0.16315	0.126684	-0.0120591
8892	4.80168	-0.163339	0.126691	-0.0120527
8911	4.81194	-0.163584	0.126698	-0.0120495
8930	4.8222	-0.163884	0.1267	-0.0120416
8949	4.83246	-0.164062	0.126711	-0.0120377
8968	4.84272	-0.164271	0.126715	-0.012037
8987	4.85298	-0.16458	0.126718	-0.0120284
9006	4.86324	-0.164774	0.126729	-0.0120234
9025	4.8735	-0.164964	0.126733	-0.0120232
9044	4.88376	-0.165261	0.126736	-0.0120154
9063	4.89402	-0.165479	0.126746	-0.0120092
9082	4.90428	-0.165658	0.126751	-0.0120093
9101	4.91454	-0.16593	0.126754	-0.0120026
9120	4.9248	-0.166177	0.126763	-0.0119951
9139	4.93506	-0.16635	0.126768	-0.0119953
9158	4.94532	-0.16659	0.126772	-0.0119901
9177	4.95558	-0.16687	0.12678	-0.0119813
9196	4.96584	-0.167041	0.126785	-0.0119812
9215	4.9761	-0.167252	0.12679	-0.0119782
